(813, 232)
(355, 787)
(295, 678)
(213, 801)
(513, 509)
(731, 695)
(371, 1008)
(15, 493)
(1029, 617)
(68, 435)
(379, 22)
(405, 318)
(697, 957)
(451, 65)
(1046, 354)
(289, 411)
(802, 1061)
(360, 184)
(466, 558)
(942, 500)
(981, 298)
(167, 1120)
(905, 498)
(346, 145)
(978, 936)
(454, 189)
(939, 421)
(578, 541)
(1050, 425)
(566, 1166)
(154, 65)
(319, 338)
(869, 1053)
(1063, 1114)
(926, 516)
(649, 1019)
(106, 101)
(347, 84)
(899, 972)
(276, 499)
(765, 761)
(400, 1270)
(521, 532)
(718, 630)
(1017, 1046)
(276, 1248)
(219, 292)
(16, 289)
(702, 282)
(733, 401)
(22, 1105)
(944, 270)
(176, 494)
(698, 201)
(396, 775)
(521, 111)
(161, 424)
(271, 1223)
(146, 1003)
(658, 1047)
(1028, 35)
(358, 669)
(376, 754)
(715, 432)
(3, 312)
(839, 736)
(468, 113)
(476, 724)
(911, 415)
(355, 747)
(1057, 531)
(92, 327)
(558, 804)
(750, 910)
(97, 1006)
(158, 3)
(430, 657)
(314, 1165)
(43, 465)
(34, 1153)
(215, 602)
(1011, 1119)
(862, 754)
(496, 266)
(537, 1207)
(465, 179)
(378, 384)
(322, 324)
(227, 508)
(987, 534)
(765, 3)
(48, 833)
(638, 109)
(297, 593)
(181, 490)
(825, 510)
(80, 33)
(343, 500)
(105, 816)
(818, 930)
(707, 1187)
(480, 1038)
(794, 302)
(667, 79)
(699, 222)
(181, 513)
(935, 615)
(848, 686)
(980, 551)
(162, 936)
(925, 483)
(42, 49)
(237, 1215)
(200, 317)
(557, 972)
(641, 921)
(56, 93)
(139, 765)
(477, 268)
(169, 4)
(260, 1110)
(636, 771)
(982, 743)
(508, 942)
(695, 723)
(910, 1046)
(250, 736)
(734, 169)
(878, 1063)
(429, 502)
(1036, 1197)
(236, 1154)
(795, 330)
(307, 502)
(680, 542)
(516, 1141)
(775, 910)
(119, 769)
(792, 172)
(236, 999)
(884, 679)
(450, 1141)
(401, 779)
(80, 103)
(121, 957)
(328, 24)
(410, 323)
(750, 702)
(524, 954)
(898, 826)
(195, 609)
(973, 245)
(225, 803)
(411, 1014)
(777, 659)
(1015, 147)
(473, 305)
(821, 1257)
(491, 903)
(167, 616)
(137, 226)
(1027, 144)
(347, 49)
(319, 237)
(584, 822)
(921, 1190)
(350, 48)
(223, 1152)
(479, 63)
(766, 269)
(194, 200)
(253, 437)
(474, 1045)
(833, 1008)
(472, 1161)
(260, 1224)
(760, 601)
(451, 651)
(370, 1178)
(68, 87)
(289, 1132)
(1056, 901)
(875, 287)
(73, 1166)
(665, 1191)
(42, 708)
(346, 1013)
(807, 467)
